timestamp,open,high,low,close,volume
2026-07-01 06:00:00,9531222,9539932,9502917,9513244,6.731
2026-07-01 06:15:00,9510754,9520746,9498720,9512138,4.376
2026-07-01 06:30:00,9510302,9522404,9507293,9507293,6.034
2026-07-01 06:45:00,9508025,9519650,9498876,9517856,6.402
2026-07-01 07:00:00,9518742,9539511,9518742,9538655,4.216
2026-07-01 07:15:00,9537315,9551819,9524430,9526755,4.778
2026-07-01 07:30:00,9525859,9527864,9505746,9517194,8.106
2026-07-01 07:45:00,9516222,9522564,9509258,9518142,2.812
2026-07-01 08:00:00,9517834,9522447,9507230,9516269,2.486
2026-07-01 08:15:00,9516555,9522675,9508273,9516783,4.088
2026-07-01 08:30:00,9515791,9520325,9509511,9516690,2.312
2026-07-01 08:45:00,9517616,9530000,9512686,9522264,4.214
2026-07-01 09:00:00,9524174,9550240,9520880,9528078,11.078
2026-07-01 09:15:00,9526510,9532551,9473737,9488754,15.189
2026-07-01 09:30:00,9484822,9515420,9484273,9503640,7.268
2026-07-01 09:45:00,9506196,9526785,9501145,9516510,5.858
2026-07-01 10:00:00,9518725,9520059,9391200,9452560,56.772
2026-07-01 10:15:00,9450966,9488856,9424386,9476770,40.907
2026-07-01 10:30:00,9481367,9576561,9477503,9562019,42.919
2026-07-01 10:45:00,9561441,9582858,9531852,9541840,8.716
2026-07-01 11:00:00,9544669,9563908,9526729,9546880,14.071
2026-07-01 11:15:00,9548588,9588028,9543987,9575201,9.471
2026-07-01 11:30:00,9575723,9608000,9574088,9606785,14.174
2026-07-01 11:45:00,9604863,9614907,9583460,9601584,13.498
2026-07-01 12:00:00,9599169,9604845,9583280,9585326,9.532
2026-07-01 12:15:00,9585348,9588635,9567040,9576586,11.16
2026-07-01 12:30:00,9578920,9615000,9564510,9583599,13.684
2026-07-01 12:45:00,9580403,9644879,9580222,9621985,26.675
2026-07-01 13:00:00,9618869,9619058,9598295,9608331,14.057
2026-07-01 13:15:00,9608213,9639033,9604353,9634949,6.801
2026-07-01 13:30:00,9633728,9646821,9617823,9644889,12.38
2026-07-01 13:45:00,9644407,9660116,9637541,9643300,6.844
