timestamp,open,high,low,close,volume
2026-05-01 06:00:00,11974366,11983001,11966152,11972223,6.225
2026-05-01 06:15:00,11972224,11972812,11948720,11952383,3.841
2026-05-01 06:30:00,11951552,11969592,11951552,11964128,2.352
2026-05-01 06:45:00,11963510,11963726,11935507,11935940,6.408
2026-05-01 07:00:00,11935513,11961936,11935507,11961652,2.448
2026-05-01 07:15:00,11959923,11975626,11958781,11973459,1.748
2026-05-01 07:30:00,11973362,11976451,11951986,11960968,2.8
2026-05-01 07:45:00,11960350,11967540,11938906,11944987,2.484
2026-05-01 08:00:00,11945849,11961085,11939657,11960262,4.512
2026-05-01 08:15:00,11960006,11967115,11955926,11961905,1.158
2026-05-01 08:30:00,11963201,11974368,11961472,11970426,2.688
2026-05-01 08:45:00,11971794,11992269,11968156,11982587,6.32
2026-05-01 09:00:00,11983433,12021354,11977073,12013838,8.685
2026-05-01 09:15:00,12017149,12036693,12015180,12033982,3.42
2026-05-01 09:30:00,12033765,12039699,12018162,12031003,4.384
2026-05-01 09:45:00,12034658,12045208,12000142,12009198,6.623
2026-05-01 10:00:00,12008922,12039512,12007202,12030277,6.111
2026-05-01 10:15:00,12030506,12040050,12024134,12025464,2.908
2026-05-01 10:30:00,12025665,12042035,12019956,12039541,6.804
2026-05-01 10:45:00,12041039,12061383,12035667,12050886,7.116
2026-05-01 11:00:00,12050224,12059502,12040184,12046706,3.954
2026-05-01 11:15:00,12050701,12058248,12035417,12040963,2.896
2026-05-01 11:30:00,12041933,12042848,12027094,12040066,2.484
2026-05-01 11:45:00,12038848,12047352,12031786,12037055,1.913
2026-05-01 12:00:00,12036350,12061095,12031786,12057443,2.046
2026-05-01 12:15:00,12060552,12167807,12059870,12130823,27.795
2026-05-01 12:30:00,12132320,12145589,12107687,12121125,9.158
2026-05-01 12:45:00,12127930,12137294,12114526,12122986,3.266
2026-05-01 13:00:00,12122985,12128236,12107928,12117736,6.152
2026-05-01 13:15:00,12120000,12133857,12093200,12103920,13.723
2026-05-01 13:30:00,12104165,12119988,12101514,12117338,4.686
2026-05-01 13:45:00,12116913,12124493,12109504,12110623,11.832
2026-05-01 14:00:00,12110509,12136374,12106979,12130638,3.596
2026-05-01 14:15:00,12130316,12134357,12118842,12121422,1.71
2026-05-01 14:30:00,12119579,12128767,12117350,12125498,2.912
2026-05-01 14:45:00,12126574,12139010,12124243,12136577,4.126
2026-05-01 15:00:00,12137351,12138600,12124253,12132714,2.306
2026-05-01 15:15:00,12133031,12138814,12126988,12129867,4.018
2026-05-01 15:30:00,12133179,12133179,12095247,12107602,3.82
2026-05-01 15:45:00,12107602,12108147,11960000,12006287,52.431
2026-05-01 16:00:00,12005388,12072584,12003953,12051682,25.435
2026-05-01 16:15:00,12052870,12062373,12038548,12044026,11.608
2026-05-01 16:30:00,12044000,12065172,12035620,12055122,8.079
2026-05-01 16:45:00,12058278,12092995,12055308,12087482,8.396
2026-05-01 17:00:00,12087482,12106605,12073393,12106044,8.791
2026-05-01 17:15:00,12106303,12131000,12099055,12118586,18.12
2026-05-01 17:30:00,12121457,12127435,12110000,12110713,15.234
2026-05-01 17:45:00,12112268,12119992,12111290,12116649,2.522
2026-05-01 18:00:00,12115702,12120725,12102740,12114522,6.441
2026-05-01 18:15:00,12115475,12128921,12108880,12124809,5.082
2026-05-01 18:30:00,12122320,12124191,12104956,12108070,8.027
2026-05-01 18:45:00,12108584,12108584,12095280,12104998,8.888
2026-05-01 19:00:00,12104767,12104767,12084911,12084911,4.492
2026-05-01 19:15:00,12087384,12128684,12087384,12116580,5.718
2026-05-01 19:30:00,12116547,12120832,12097333,12098736,2.958
2026-05-01 19:45:00,12098240,12110000,12095882,12109377,4.39
2026-05-01 20:00:00,12110043,12116468,12104801,12113172,1.84
2026-05-01 20:15:00,12113239,12150777,12106131,12118405,14.914
2026-05-01 20:30:00,12119504,12128066,12116332,12126678,2.422
2026-05-01 20:45:00,12127544,12135654,12118957,12135090,4.496
2026-05-01 21:00:00,12137087,12167821,12129061,12146724,9.879
2026-05-01 21:15:00,12144921,12180180,12144269,12176024,13.463
2026-05-01 21:30:00,12178147,12236011,12177467,12206135,22.492
2026-05-01 21:45:00,12206466,12224892,12200000,12200795,6.992
2026-05-01 22:00:00,12200795,12284623,12200795,12273655,35.786
2026-05-01 22:15:00,12278002,12287042,12260640,12264224,9.75
2026-05-01 22:30:00,12262614,12300000,12241526,12263200,22.618
2026-05-01 22:45:00,12260624,12359999,12252106,12327472,39.056
2026-05-01 23:00:00,12327290,12343029,12298346,12311867,31.63
2026-05-01 23:15:00,12311992,12317137,12231520,12255965,25.919
2026-05-01 23:30:00,12250739,12257004,12221252,12253518,7.408
2026-05-01 23:45:00,12247054,12292000,12242338,12279048,9.019
2026-05-02 00:00:00,12278081,12307478,12254399,12297768,10.264
2026-05-02 00:15:00,12298676,12327590,12292156,12314336,10.424
2026-05-02 00:30:00,12315061,12343079,12310564,12327941,8.558
2026-05-02 00:45:00,12328727,12330357,12255317,12301303,19.014
2026-05-02 01:00:00,12301417,12339265,12288080,12298963,16.715
2026-05-02 01:15:00,12291709,12311030,12262880,12292381,22.13
2026-05-02 01:30:00,12292451,12301466,12267298,12283881,9.324
2026-05-02 01:45:00,12280980,12296166,12270983,12278693,3.77
2026-05-02 02:00:00,12276191,12295073,12264627,12295073,3.754
2026-05-02 02:15:00,12295349,12301974,12273809,12280122,5.778
